"","f","e","d","tau_q","tau_s","v_s"
"1",0.256566615694729,1.17914003068157,0.000290503599567191,0.00208433889193267,8.50259496115254e-05,0.460279140799408
"2",0.511476533169186,0.644568935479966,0.00070712125927241,0.00254495615054768,0.000158038382653019,0.738597295758651
"3",0.362470142516852,0.504330896730574,0.000926591475934922,0.00107899565471498,0.000187730566086216,0.836176686231534
"4",0.445355938164527,0.582860330212304,0.000636087377009332,0.000844091590264007,0.000145818782876938,0.704731030679068
"5",0.41289501567567,1.12121816957262,0.00101781505946061,0.00270130175367626,0.00011526671201293,0.414177106596758
"6",0.698443621063378,0.994577798420525,0.000626750795977907,0.00245613202788856,0.000160512387820334,0.401381209813405
"7",0.26620279954424,0.710926144500057,0.0010178315041667,0.00173272602612987,0.000121533977599915,0.718454962301977
"8",0.836998593965267,0.408000655697719,0.000287838900629693,0.00821526611807107,0.000196301290355117,0.856212862225657
"9",0.388674962826869,0.648943425165949,0.000804223078548897,0.000495405716443293,0.000154888904474869,0.676982883680901
"10",0.412750984444304,0.926440097756025,0.000367654377391316,0.00135241142092957,0.000113322301538834,0.53159986919604
"11",0.627138603100342,0.666288413681978,0.000894863616791842,0.00156866783053195,0.00037185964640949,0.632759211792811
"12",0.162247049994649,1.156466345518,0.000239451272760496,0.000515809807558143,8.39207470154543e-05,0.445813617778532
"13",0.410259445691561,0.750441020831198,0.000912491329413466,0.00269035152882255,0.000141007175930889,0.685788713078013
"14",0.511400503818431,0.222958639318661,0.000227400058449201,0.010968387721745,0.000284042097908539,0.808658858591248
"15",0.578954782163188,0.76609989503674,0.000486643522268913,0.00177837097426793,0.000152737040510146,0.625224827564009
"16",0.229832755905894,1.38130033806735,0.000290782604322977,0.00147832565235029,6.07000175146475e-05,0.305672920243458
"17",0.77606592158997,0.750949880452572,0.000652842015319761,0.00391943420571113,0.000155998631507321,0.568227132102791
"18",0.692928218416872,0.68789094456859,0.000650461752349085,0.00393636653426604,0.000140669807464404,0.650699799829046
"19",0.348543188040249,1.21908784242782,0.000704599167530794,0.00256589847778486,8.95183765973454e-05,0.420712207359866
