"f","e","d","tau_q","tau_s","v_s","u0"
0.7962093,1.0047568,265.3704,8.45315,593.2622,0.8276669,1.34029558858355
1.2369676,0.9926727,401.8637,4.608785,897.1851,0.8073814,1.55170469333091
1.3407099,0.999643,540.0542,3.727634,926.514,0.9015748,1.6603407536294
1.378321,1.0055235,327.0561,3.620124,259.9085,0.7373635,1.4784554318199
0.7928018,0.9970395,389.0215,4.515961,477.9213,0.7126402,1.21973616015623
1.3542888,1.0026223,248.2306,9.052564,844.1465,0.7648195,1.50030030453247
1.4344335,1.0035284,243.9379,7.42506,234.7473,0.9783545,1.58506998581901
0.9040763,1.0078104,349.5171,3.766021,217.3337,0.723063,1.24808054840516
0.7284871,1.0072406,252.5706,9.277006,486.1512,0.7375141,1.21315941884863
0.51206,0.9970668,374.0001,9.765953,422.3247,0.9977457,1.40125866291591
0.7522459,0.9901981,402.0159,5.877986,989.5784,0.7713585,1.31303462833155
1.3371276,1.0072862,394.2696,8.320381,725.5459,0.7368425,1.56913767775114
0.6311667,0.990207,394.6866,5.918913,881.2534,0.8437874,1.30442539019093
0.8413159,1.0095621,468.3383,9.396373,933.6463,0.7634733,1.43026685741677
1.429225,0.9962301,340.7791,8.173643,365.8286,0.86357,1.59494345689699
0.7516757,1.0092697,462.2318,6.422216,593.3124,0.762242,1.30901411563987
1.0813142,1.0039597,340.7792,8.737774,287.6587,0.8398113,1.4848749517203
1.4063992,0.9925946,224.9327,5.489314,426.4211,0.7792486,1.44235692202388
0.64429,0.9945726,476.8205,4.389955,223.7944,0.7381574,1.10486875094745
0.638889,1.0014306,403.5885,4.026863,557.3066,0.7589436,1.15182844587082
0.9996111,1.0089829,346.2481,5.394327,220.6789,0.8746256,1.44663733655035
1.0315118,0.9971624,334.5348,6.008969,306.2843,0.9628368,1.5316962995823
0.990248,1.0021144,240.818,3.629699,204.4453,0.8176499,1.28350560955464
1.0492786,0.9966797,235.1825,9.064572,799.0259,0.9947776,1.57535707201619
1.4039132,0.9931079,234.4433,5.565428,877.8765,0.8671224,1.53978632704129
1.2605512,1.0066313,528.7125,4.712906,838.9599,0.8012365,1.60655379795954
0.6605819,1.0018468,313.3899,9.07863,856.4027,0.7733488,1.26236522932529
1.1433212,1.005298,330.6831,5.333167,218.7735,0.8583292,1.48359032478808
0.647185,1.0011502,251.4634,6.328446,295.1754,0.9508351,1.32761737656582
0.6014296,0.9932351,202.7981,6.705145,398.8728,0.9574849,1.34216311058629
1.343426,0.993176,328.6398,4.536438,595.8326,0.9207871,1.59944241894749
0.9099118,0.9929357,284.5216,7.340081,629.491,0.7420077,1.32149079886236
1.2344542,1.003024,542.1891,8.32488,576.8919,0.8891117,1.64065861801631
1.3919927,1.005034,540.2632,9.417838,933.6231,0.8504446,1.67019067469741
0.6827801,1.0095089,521.8897,6.653905,944.7218,0.8305212,1.36253291723579
1.4058601,1.0093635,245.3506,3.064787,324.2251,0.8166982,1.46226924747748
1.4569251,0.9990509,401.0249,7.767839,254.1417,0.9778309,1.65982171294499
1.2411843,1.0041336,271.0062,9.379128,295.742,0.8245283,1.48748496549749
1.0359477,0.9963704,382.5644,7.191286,340.0231,0.8167505,1.47024340086353
1.4535029,0.990922,449.7334,8.243958,685.7708,0.867078,1.6509239793885
0.8352073,1.0001313,267.5921,8.017274,725.6246,0.8079733,1.35014386246639
0.730546,0.9905517,208.0564,6.101097,457.2888,0.7222605,1.11495108581993
0.6462436,1.0022095,499.9709,6.401502,667.1324,0.9620028,1.43911143209421
1.381706,1.0098366,536.1679,7.7239,754.5817,0.9572512,1.69023315160628
0.5330946,1.0032552,476.6409,6.259765,236.0675,0.7221473,1.0694180663589
1.0820299,1.004143,547.6391,3.600421,535.6911,0.9427567,1.61575599511602
0.5672806,0.9941877,549.8123,5.219835,968.6082,0.8132103,1.25666876849249
1.4107505,1.0082343,301.1894,4.273739,447.504,0.9068041,1.58815181960481
0.7055301,0.9950253,549.7168,8.776113,323.8706,0.7193223,1.25274244425172
0.5045912,1.0003833,420.9443,5.744482,987.9187,0.8355512,1.25231770360859
1.0857852,1.0051274,234.6174,7.167352,933.9662,0.891866,1.50479753535903
0.7015545,0.9955639,247.275,8.224115,759.1407,0.9107086,1.38620171928275
1.2550368,1.0043418,269.0511,7.739581,315.9396,0.942559,1.5539797966223
0.537782,0.9941828,414.0066,5.824539,448.6156,0.8602796,1.24364115116802
0.8994655,1.0001952,222.6543,3.836686,224.388,0.9712889,1.40793794823461
0.6803651,0.9916042,522.4778,9.729938,413.969,0.9366625,1.40952067348046
1.3513771,0.9901067,496.876,5.908882,326.8152,0.896185,1.63838389401339
1.3933963,1.0097192,523.3909,5.709127,517.8074,0.7393132,1.62440822906753
1.0936759,1.0063527,546.2561,7.386222,664.1477,0.740387,1.54664307283465
0.9679536,1.0055937,447.4986,4.897384,752.4602,0.7764621,1.45585568650763
0.5922151,0.9991977,466.2802,8.904887,683.8089,0.7615681,1.23156476350381
1.1352339,0.9934516,535.8401,8.358336,865.1083,0.8025824,1.58659873984664
0.9695564,0.9922811,385.6987,4.482465,489.983,0.850548,1.45461199098196
1.4265378,1.0095461,320.1675,6.192707,305.5252,0.8540283,1.57432995382828
0.603572,1.0009967,540.2243,3.209194,775.4332,0.9394226,1.39249624993053
1.3417624,0.9974301,422.0427,3.103359,994.4735,0.9811025,1.67555915844831
1.4332802,1.0013464,416.8315,5.315808,721.7238,0.988691,1.6834979385688
1.4208709,0.9987856,372.6818,9.343926,394.5893,0.8766054,1.61865200095249
1.1316714,1.0099543,251.1957,7.595915,449.342,0.9614988,1.54401088891763
0.7031969,1.0025727,211.1768,3.511569,568.8608,0.7250622,1.05260723253201
1.3895616,0.9947468,376.1957,5.737359,793.3547,0.8437179,1.59952991213733
1.1610601,0.9935013,342.225,9.926467,897.9112,0.7438523,1.50251229520357
0.6154322,1.0083633,333.8238,3.839915,660.4135,0.7129685,1.0647740964172
0.8285384,1.0059837,330.7193,7.249074,688.8762,0.7852809,1.34898149083076
0.8326536,0.9949439,401.1059,4.85443,201.9239,0.7088468,1.22324965521904
1.0215186,0.9985317,530.6731,6.654368,444.1087,0.847738,1.54508748812134
0.8774779,0.9981559,488.2219,8.790199,852.9866,0.751822,1.43903665184392
0.7117789,1.0092076,296.6141,6.958945,505.4432,0.8399552,1.29628127212895
0.5284326,0.9955405,400.5478,9.481208,973.5959,0.8262687,1.28402603392551
1.0621571,0.995009,350.4207,4.960464,781.8369,0.8912734,1.53247136593025
0.9445124,0.996476,547.6902,5.749481,936.5284,0.7849441,1.49642079042904
0.5216522,0.9976244,485.5256,9.303991,491.6958,0.847176,1.2702756345638
1.377308,1.0038011,248.2413,9.6079,578.8745,0.7594206,1.49504659177375
0.5355224,1.0024582,495.7952,9.119273,387.6206,0.9696238,1.37388346538903
0.5673735,0.9940846,456.7066,7.820399,508.2354,0.7683473,1.19410680591096
1.4958049,0.9992825,325.434,8.532369,487.5883,0.8136156,1.58837940240152
0.9813804,1.0027824,536.1244,8.190862,715.9102,0.827837,1.54343191388903
1.4640345,0.9947038,329.4254,4.965681,218.0673,0.8363194,1.55704776401968
0.9127613,0.9940212,265.941,7.693691,352.1934,0.827185,1.35405471460806
0.5201702,1.0002132,534.8585,9.995666,498.2304,0.8443175,1.27660391600295
0.8656778,1.0034904,326.512,9.163408,342.5411,0.723303,1.30559768052019
1.0480989,1.0095264,549.3622,7.287407,594.1943,0.918177,1.60794925790145
0.7608724,1.0016882,335.0616,3.356516,980.6839,0.9364268,1.45824164263946
0.7969938,1.0093398,486.1402,8.291073,620.6261,0.8950022,1.46954285704272
0.6938344,0.997611,451.6014,3.102271,766.5805,0.7311416,1.16987111129113
1.3822293,0.9948588,439.5591,9.537188,609.8905,0.8428977,1.62978362303226
0.8340395,0.9996549,485.9576,6.429092,794.035,0.7332942,1.37023928331919
0.774876,0.9991639,315.4049,3.379961,986.9524,0.9693711,1.50339884384246
0.5823581,1.0093571,549.0697,9.438995,717.3395,0.9368191,1.4038478656967
0.5377775,1.0065572,328.3461,7.213348,897.8946,0.859777,1.29189935317767
1.0990532,1.0072022,301.8885,6.633581,277.3217,0.9832055,1.55122377494379
1.1113451,0.9927391,312.6437,8.996737,850.7201,0.832336,1.51246509448535
0.9820472,0.9974419,491.3872,7.438301,289.4602,0.9938475,1.58425306146793
1.4496843,1.0047259,246.1919,6.470396,479.8251,0.7963558,1.50563078307365
0.5839388,1.0077212,269.8843,8.865634,954.1387,0.8727739,1.32927440159
1.2687578,1.0062818,420.4626,4.669178,840.6662,0.7496896,1.54472452580733
0.9772705,1.0042723,403.2872,7.124765,280.2781,0.8234049,1.45315028136285
1.1321367,0.99281,468.863,4.479019,660.119,0.7111007,1.48594093983312
0.5416255,0.9990032,448.3626,6.189726,374.8338,0.7197286,1.09072286776452
0.646844,0.9904962,448.5153,9.097697,641.8617,0.9942793,1.46492278140276
0.947301,0.9976055,333.4779,4.044734,601.5063,0.8757059,1.44900841436393
1.0262803,1.0001676,283.4925,3.326925,372.2102,0.8420174,1.38804377671054
1.2767533,0.990862,332.6543,4.460371,706.2614,0.7406647,1.47684120952359
1.0028045,0.9988856,336.1002,3.585696,420.8381,0.7024919,1.30425644210925
0.9787463,1.0007037,280.3394,7.027454,887.0902,0.8154809,1.42954071538753
0.7896475,0.995873,383.3754,4.292108,631.1094,0.8543438,1.36858100062925
0.7366092,0.9985704,409.7067,8.861413,720.7301,0.8325335,1.37224174961175
0.7163065,1.0034538,269.965,5.189379,980.181,0.8353463,1.30953248244519
0.5884707,1.0020243,504.1205,3.720781,375.6643,0.876522,1.25564684493357
1.1685709,1.0092189,316.2045,7.30535,945.5249,0.7255425,1.47017813845579
0.6548624,1.007672,455.0316,8.843336,588.0797,0.7282065,1.23192272638761
0.9189825,0.9967577,528.3031,5.990907,298.0796,0.9279779,1.52475078507727
1.4408793,0.9922185,488.9547,9.590312,404.8392,0.9365046,1.67361589812175
0.9719332,1.0071122,205.9754,4.247745,603.8136,0.7841907,1.28402249540327
0.6562163,1.0090738,470.9875,8.554898,271.1398,0.8350133,1.27667809824287
0.7990843,0.9949063,363.4629,6.190732,819.2206,0.9969736,1.54283174840607
0.9607309,0.9906624,260.2564,4.27734,368.7564,0.9905953,1.50562637592963
1.328995,1.0002952,453.8869,9.357716,616.8711,0.9849576,1.67385588054634
0.6493445,0.996367,443.5091,5.194965,566.839,0.9629529,1.42014479904238
1.4512983,0.9951965,288.92,6.534529,324.7613,0.9352381,1.59814382950204
1.3258903,0.9942252,435.0109,4.600772,318.1865,0.9666537,1.64314614119877
0.910589,0.9939104,210.0419,5.011341,855.0754,0.9428301,1.4766362585328
0.7468627,0.9915521,504.7466,6.808194,334.8409,0.9835219,1.46491695466865
1.3827721,1.0088732,508.197,6.841921,850.5383,0.7652189,1.63260895333849
0.5276905,1.0049326,289.6375,4.848195,457.9415,0.9363169,1.31775918741
0.9477519,0.996064,293.9097,5.137525,465.2483,0.9245397,1.46968285390621
1.3251748,1.000633,212.2979,3.359446,713.375,0.9306735,1.53977834050004
1.2398857,1.0069077,282.8062,7.41265,951.7128,0.9947731,1.64050406502329
1.2371995,1.0014665,329.8739,6.53147,600.6417,0.8370014,1.54005055528765
1.0706297,1.0046166,453.0655,6.735235,633.5664,0.9525268,1.61106960623254
0.8743558,0.9917991,374.2007,7.174554,831.7128,0.7698276,1.38653747026983
0.7853281,1.0077311,541.5225,6.631501,385.1556,0.8468855,1.40397137058264
0.7723853,0.999207,263.1842,6.712571,715.9194,0.7609863,1.25302725829397
1.3944544,1.0015168,470.5409,7.331599,906.5775,0.8809857,1.65742540055664
0.6030836,0.9988353,407.3086,9.465321,554.01,0.7608697,1.21970445639044
0.9905737,1.0062938,386.5054,6.346346,543.9048,0.9665809,1.57198213888175
1.3463141,1.003112,428.2665,8.867842,979.298,0.7561549,1.59945251743037
1.4462866,0.9951142,263.4438,6.937686,571.4726,0.7708312,1.50786141263066
1.1813101,1.0015138,503.6272,8.298316,646.8207,0.7731432,1.57703503383409
1.0328729,1.0004885,504.4632,9.578027,259.7159,0.970157,1.59084032114332
1.0318524,0.9967995,252.9811,6.480999,260.5117,0.709515,1.28312582468659
1.2022445,0.9961863,307.3817,3.521621,810.9343,0.8290033,1.49283602181122
0.8139946,1.0003332,335.3375,3.86621,900.4427,0.9395631,1.48359563935153
0.8193901,0.9986603,345.1981,9.819346,401.6962,0.770239,1.32917455380334
0.9405289,0.9941586,350.6282,3.622166,586.5292,0.9575789,1.52826472490094
0.6308346,0.9979858,304.7203,9.709476,565.943,0.9413248,1.38518528212521
0.8662515,0.994283,200.9805,6.574374,272.3885,0.9063551,1.33947988594831
1.1252429,0.9971661,257.0755,7.078953,346.7847,0.9935899,1.55128648584038
0.6161464,1.004378,447.7406,9.162285,359.8671,0.9406135,1.36307218826273
0.5900326,0.9990537,452.0071,6.821057,211.6538,0.9498861,1.31011484450889
0.9113238,1.0092559,270.6925,7.718957,382.2229,0.8363753,1.37567403864023
0.5596285,1.0037823,334.0499,8.6038,666.968,0.8564331,1.28727812903091
1.3591962,1.0061541,477.8713,5.590834,606.8086,0.7412775,1.59563090685303
0.5532025,0.9939874,403.4566,5.275491,890.0966,0.793885,1.20163256402331
1.2478199,1.0007397,332.2726,6.590691,827.8548,0.9649918,1.63092393965092
0.5556663,0.9987555,224.1417,7.484472,673.4578,0.8963926,1.30773826605615
1.3697952,1.0027143,416.6047,6.87037,996.4656,0.8492753,1.62717204761426
0.6145147,0.990173,445.9926,8.912255,269.3186,0.8893454,1.29221216367899
1.228346,1.008195,273.5306,4.543327,917.1387,0.9521651,1.59752889796529
0.9924309,0.9998696,336.556,7.844002,748.129,0.8053953,1.45659082726387
1.438859,0.9954754,510.6493,7.941344,553.0274,0.9295603,1.67893221203869
0.5609461,1.0089819,497.7737,6.190189,442.2554,0.925446,1.33605787311485
1.1101827,1.0026964,413.2603,9.225209,797.1658,0.9382974,1.61466690854703
1.4277077,1.006417,248.7413,4.737008,876.9994,0.8006538,1.51006160899038
1.4717562,0.9982292,402.442,7.252782,209.2798,0.7629947,1.59006273272857
1.0270482,1.0026457,303.4449,7.039326,886.6097,0.8756121,1.50846050100103
0.9609959,1.0000619,203.976,5.945063,237.9179,0.7652144,1.23194091141592
1.3802626,0.9961659,215.268,5.766571,419.1606,0.7913355,1.43681313134096
0.9617297,0.9914085,456.46,9.454968,204.8774,0.755342,1.43049036998697
1.4335815,1.0071844,264.7347,5.964641,901.1862,0.851985,1.5670498829013
0.6915918,0.9927914,218.1175,9.738619,852.1706,0.98308,1.46689610486584
1.2198217,1.0013587,390.1212,4.743458,750.9225,0.8095762,1.54415778621499
0.5438741,0.9960655,351.2534,7.436189,860.5587,0.7660401,1.18958911780793
0.971846,0.9900358,412.171,6.738899,645.7805,0.9345209,1.5534775943575
1.0625182,1.0099247,543.6645,7.399285,523.0333,0.9511877,1.6231009861524
0.8046497,1.0087437,526.7214,9.402362,700.1024,0.8191194,1.44224256012267
0.90736,0.9935484,342.7522,7.962116,670.8013,0.9828672,1.55289703757227
0.5572695,1.0039445,266.8453,4.477025,201.741,0.8859891,1.17519018943534
0.5421899,1.0022408,473.534,3.024146,689.4328,0.7028305,1.02167684655675
1.4837218,1.0084035,419.9753,6.008001,642.1297,0.7762782,1.61838305914924
1.3037411,1.0020933,477.3431,7.840825,750.007,0.7776222,1.6045466977449
1.3085342,1.0029035,293.9206,7.23608,506.9769,0.8316814,1.53353148636905
1.3547154,1.0050917,217.437,3.442463,750.1451,0.8347837,1.46672281139412
1.2844653,1.0007619,329.4647,7.041861,774.7501,0.834299,1.56071463585963
1.3428884,0.9939554,341.8736,8.550207,372.8525,0.8559139,1.57425844035174
1.3221587,0.9968748,463.768,6.839559,538.7493,0.835707,1.61309030733953
