"f","e","d","tau_q","tau_s","v_s"
0.210753019673178,0.464410277145806,0.000175189204717403,0.00110110631722195,1.32748087517987e-05,0.122368020180314
0.417151266341909,0.452014389778345,0.000512603990962373,0.00270619991491789,5.67558514056354e-05,0.512804066137944
0.28786601953685,0.348630633719851,0.000676191443161028,0.00127541011084052,7.43217638796453e-05,0.606908801603407
0.335736651618654,0.389585122087674,0.00041945916958954,0.000861620140303799,5.10171213591032e-05,0.432696345488047
0.407703683867522,0.718274666335791,0.000856727695706956,0.00212165396359971,2.18976914387289e-05,0.209135960356648
0.581827874464866,0.608371697783859,0.000439690761228138,0.00207496562786312,4.94037497006636e-05,0.245630305023088
0.218863082515558,0.490560217653452,0.000748318153480158,0.00151482826280792,3.27246682519061e-05,0.360391250232273
0.457822409636479,0.190877136419515,0.000172986416289712,0.0108322530943663,8.23541830536207e-05,0.832731455773102
0.26707917984578,0.416941550487748,0.000495413251972599,0.000452261593249154,4.70495284383623e-05,0.373508131751012
0.345959929766652,0.479091397478015,0.00025081332310785,0.00102720768397846,2.73200179137047e-05,0.241177085658322
0.495102403560085,0.440161080038282,0.00063281565665462,0.00159201927829122,0.000194175736462529,0.487258414433596
0.0773131594192413,0.308624903573661,7.8074989642244e-05,0.000170797630005209,2.48565723551328e-06,0.0748040895732717
0.328131284320285,0.539570866049177,0.000666282726085357,0.0027060870686776,4.36859526317043e-05,0.423842794104325
-0.32409014315738,-0.0404230646922623,9.10237069777531e-05,0.0130044216663346,0.000120967907362296,0.811985862818207
0.443728869018312,0.466954319901383,0.000316481808355757,0.00164001000079765,4.85007978207605e-05,0.384812029708787
0.119620886734828,0.365777887980983,0.000101740940744072,0.000469155920455973,-4.97967861409188e-06,0.0478006167878799
0.705634966294041,0.543011869089051,0.000525480333810532,0.00480784188645438,6.23686971491901e-05,0.468494862237191
0.636059375444122,0.515829901287018,0.00053895400678052,0.00513522219978492,5.49538721454433e-05,0.52743414735538
0.385392062431354,0.698070790429111,0.000628717604281285,0.00186609239169835,1.60452895409338e-05,0.175996390081709
0.167860545458756,0.0485090412538615,4.82415643904361e-05,0.000394773769224937,0.000150640136342846,0.719568871370999
0.48040916781966,0.381232834390779,0.00047312400374935,0.00271897626632314,7.40424593834566e-05,0.585045689022943
0.33970586494595,0.658598032013114,0.00117313679025959,0.0034628819018181,5.17852970247266e-05,0.384852877404389
-0.299023536367854,-0.0422813229095604,4.60586518134839e-05,0.00433334883843318,6.80400523400299e-05,0.838759764796839
0.174968681962952,0.39670346808025,0.000112049528377616,0.000599489759413716,9.98667648544215e-06,0.0954798366092325
0.654504502204943,0.532579760947446,0.000731375729448938,0.00803227267228018,9.18984084698301e-05,0.591636186582167
0.0791774554698493,0.30604367944897,7.27207056423425e-05,0.000155141835883988,5.3778737017387e-06,0.0753192500800074
0.200418987378067,0.446751560684924,0.000263294283499104,0.000270305079902924,1.56638199627986e-05,0.136117091643023
0.227885728503294,0.117703118881804,0.000163000631710273,0.000255535180314027,9.20104914450812e-05,0.900503960429022
0.193175025504288,0.426073276884599,0.000739112171471635,0.000767588120039518,4.56215057383201e-05,0.46248171003786
0.901294740359476,0.459721033705344,0.000318673075523312,0.00552402376215389,9.36446696544468e-05,0.475189732276146
0.425533019967097,0.391994914512411,0.000361346189768727,0.000918250618387754,6.97921215241517e-05,0.461568715172822
0.387542972923829,0.15164161685244,0.00021879772690433,0.00399081459936954,0.000307081176598883,0.611769917412907
0.397103409077088,0.430088842544479,0.000217914742742417,0.0010876566314126,3.86072057643689e-05,0.326642931151884
0.402688634603467,0.497058841554209,0.000316916677639165,0.00102716980951299,3.16107495724247e-05,0.249013224061473
0.320921622786847,0.544533537744635,0.000267177589873694,0.00118726939389436,1.32788371960434e-05,0.157490178700669
0.240866705907018,0.10647538353015,0.000128847141835292,0.00594012161673319,7.35702568286369e-05,0.987957722086987
0.0944616198567709,0.0529699340224987,0.000130951828418882,0.00847754813956598,0.000147621816304382,1.00830916964685
0.436412626024448,0.20764354135943,0.000315435761614544,0.00515176550619201,0.000313168000421646,0.628321999850418
0.248122411471165,0.579971368014473,0.00102087709461322,0.000989254995368056,3.20284296318942e-05,0.265600193633554
0.0995969400146686,0.332751693041541,0.000111060487782235,0.00019146192567637,-1.14628151411469e-05,0.0782854729312646
0.739987619463403,0.625448343445939,0.000541062464315915,0.00824661018826714,5.24270438156198e-05,0.493021256677525
